"","id.setlist","tour","fecha.evento","info","id.artista","artista","lugar","ciudad","pais.codigo","pais.nombre","setlist","mes","año"
"1","53e09b3d","Low In High School",2017-11-11,NA,"013fa897-86db-41d3-8e9f-386c8a34f4e6","Morrissey","Hollywood Bowl","Hollywood","US","United States","list(song = list(list(`@name` = c(""You'll Be Gone"", ""Alma Matters"", ""When Last I Spoke to Carol"", ""I Wish You Lonely"", ""Ganglord"", ""The Bullfighter Dies"", ""I Started Something I Couldn't Finish"", ""Suedehead"", ""When You Open Your Legs"", ""World Peace Is None of Your Business"", ""How Soon Is Now?"", ""Back on the Chain Gang"", ""Jacky's Only Happy When She's Up on the Stage"", ""Spent the Day in Bed"", ""Jack the Ripper"", ""Everyday Is Like Sunday"", ""I'm Not Sorry"", ""I'm Throwing My Arms Around Paris"", ""Speedway"", 
""Shoplifters of the World Unite""), `cover.@mbid` = c(""01809552-4f87-45b0-afff-2c6f0730a3be"", NA, NA, NA, NA, NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", NA, NA, NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", ""e9c832b0-384b-4ee6-aec0-111372784aac"", NA, NA, NA, NA, NA, NA, NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27""), `cover.@tmid` = c(""821272"", NA, NA, NA, NA, NA, ""770791"", NA, NA, NA, ""770791"", ""735890"", NA, NA, NA, NA, NA, NA, NA, ""770791""), `cover.@name` = c(""Elvis Presley"", NA, NA, NA, NA, NA, ""The Smiths"", 
NA, NA, NA, ""The Smiths"", ""The Pretenders"", NA, NA, NA, NA, NA, NA, NA, ""The Smiths""), `cover.@sortName` = c(""Presley, Elvis"", NA, NA, NA, NA, NA, ""Smiths, The"", NA, NA, NA, ""Smiths, The"", ""Pretenders, The"", NA, NA, NA, NA, NA, NA, NA, ""Smiths, The""), `cover.@disambiguation` = c("""", NA, NA, NA, NA, NA, """", NA, NA, NA, """", ""English-American rock band"", NA, NA, NA, NA, NA, NA, NA, """"), cover.url = c(""https://www.setlist.fm/setlists/elvis-presley-73d6a2b1.html"", NA, NA, NA, NA, NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", 
NA, NA, NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", ""https://www.setlist.fm/setlists/the-pretenders-33d6b815.html"", NA, NA, NA, NA, NA, NA, NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"")), list(`@name` = c(""Let Me Kiss You"", ""Glamorous Glue""))), `@encore` = c(NA, ""1""))",11,2017
"2","33e0a859","Low In High School",2017-11-10,NA,"013fa897-86db-41d3-8e9f-386c8a34f4e6","Morrissey","Hollywood Bowl","Hollywood","US","United States","list(song = list(list(`@name` = c(""You'll Be Gone"", ""I Started Something I Couldn't Finish"", ""Glamorous Glue"", ""I Wish You Lonely"", ""Jacky's Only Happy When She's Up on the Stage"", ""Kiss Me a Lot"", ""When You Open Your Legs"", ""How Soon Is Now?"", ""Spent the Day in Bed"", ""The Bullfighter Dies"", ""Jack the Ripper"", ""Home Is a Question Mark"", ""My Love, I'd Do Anything for You"", ""I'm Throwing My Arms Around Paris"", ""Back on the Chain Gang"", ""All the Young People Must Fall in Love"", ""Speedway"", ""World Peace Is None of Your Business"", 
""Meat Is Murder"", ""Everyday Is Like Sunday""), `cover.@mbid` = c(""01809552-4f87-45b0-afff-2c6f0730a3be"", ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", NA, NA, NA, NA, NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", NA, NA, NA, NA, NA, NA, ""e9c832b0-384b-4ee6-aec0-111372784aac"", NA, NA, NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", NA), `cover.@tmid` = c(""821272"", ""770791"", NA, NA, NA, NA, NA, ""770791"", NA, NA, NA, NA, NA, NA, ""735890"", NA, NA, NA, ""770791"", NA), `cover.@name` = c(""Elvis Presley"", ""The Smiths"", 
NA, NA, NA, NA, NA, ""The Smiths"", NA, NA, NA, NA, NA, NA, ""The Pretenders"", NA, NA, NA, ""The Smiths"", NA), `cover.@sortName` = c(""Presley, Elvis"", ""Smiths, The"", NA, NA, NA, NA, NA, ""Smiths, The"", NA, NA, NA, NA, NA, NA, ""Pretenders, The"", NA, NA, NA, ""Smiths, The"", NA), `cover.@disambiguation` = c("""", """", NA, NA, NA, NA, NA, """", NA, NA, NA, NA, NA, NA, ""English-American rock band"", NA, NA, NA, """", NA), cover.url = c(""https://www.setlist.fm/setlists/elvis-presley-73d6a2b1.html"", ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", 
NA, NA, NA, NA, NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", NA, NA, NA, NA, NA, NA, ""https://www.setlist.fm/setlists/the-pretenders-33d6b815.html"", NA, NA, NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", NA)), list(`@name` = c(""Suedehead"", ""Shoplifters of the World Unite""), `cover.@mbid` = c(NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27""), `cover.@tmid` = c(NA, ""770791""), `cover.@name` = c(NA, ""The Smiths""), `cover.@sortName` = c(NA, ""Smiths, The""), `cover.@disambiguation` = c(NA, 
""""), cover.url = c(NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html""))), `@encore` = c(NA, ""1""))",11,2017
"3","3be08898","Low In High School",2017-11-05,NA,"013fa897-86db-41d3-8e9f-386c8a34f4e6","Morrissey","Vina Robles Amphitheatre","Paso Robles","US","United States","list(song = list(`@name` = ""We Got Fucked By Morrissey""))",11,2017
"4","5be357c0","Low In High School",2017-11-04,NA,"013fa897-86db-41d3-8e9f-386c8a34f4e6","Morrissey","Nob Hill Masonic Auditorium","San Francisco","US","United States","list(song = list(list(`@name` = c(""You'll Be Gone"", ""I Started Something I Couldn't Finish"", ""Glamorous Glue"", ""I Wish You Lonely"", ""Jacky's Only Happy When She's Up on the Stage"", ""Kiss Me a Lot"", ""When You Open Your Legs"", ""How Soon Is Now?"", ""Spent the Day in Bed"", ""The Bullfighter Dies"", ""Jack the Ripper"", ""Home Is a Question Mark"", ""My Love, I'd Do Anything for You"", ""I'm Throwing My Arms Around Paris"", ""Back on the Chain Gang"", ""All the Young People Must Fall in Love"", ""Speedway"", ""World Peace Is None of Your Business"", 
""Meat Is Murder"", ""Everyday Is Like Sunday""), info = c(NA, NA, ""First performance since 1992"", NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA), `cover.@mbid` = c(""01809552-4f87-45b0-afff-2c6f0730a3be"", ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", NA, NA, NA, NA, NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", NA, NA, NA, NA, NA, NA, ""e9c832b0-384b-4ee6-aec0-111372784aac"", NA, NA, NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", NA), `cover.@tmid` = c(""821272"", ""770791"", NA, NA, NA, NA, NA, 
""770791"", NA, NA, NA, NA, NA, NA, ""735890"", NA, NA, NA, ""770791"", NA), `cover.@name` = c(""Elvis Presley"", ""The Smiths"", NA, NA, NA, NA, NA, ""The Smiths"", NA, NA, NA, NA, NA, NA, ""The Pretenders"", NA, NA, NA, ""The Smiths"", NA), `cover.@sortName` = c(""Presley, Elvis"", ""Smiths, The"", NA, NA, NA, NA, NA, ""Smiths, The"", NA, NA, NA, NA, NA, NA, ""Pretenders, The"", NA, NA, NA, ""Smiths, The"", NA), `cover.@disambiguation` = c("""", """", NA, NA, NA, NA, NA, """", NA, NA, NA, NA, NA, NA, ""English-American rock band"", 
NA, NA, NA, """", NA), cover.url = c(""https://www.setlist.fm/setlists/elvis-presley-73d6a2b1.html"", ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", NA, NA, NA, NA, NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", NA, NA, NA, NA, NA, NA, ""https://www.setlist.fm/setlists/the-pretenders-33d6b815.html"", NA, NA, NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", NA)), list(`@name` = c(""Suedehead"", ""Shoplifters of the World Unite""), `cover.@mbid` = c(NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27""
), `cover.@tmid` = c(NA, ""770791""), `cover.@name` = c(NA, ""The Smiths""), `cover.@sortName` = c(NA, ""Smiths, The""), `cover.@disambiguation` = c(NA, """"), cover.url = c(NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html""))), `@encore` = c(NA, ""1""))",11,2017
"5","5be36770","Low In High School",2017-11-02,NA,"013fa897-86db-41d3-8e9f-386c8a34f4e6","Morrissey","Paramount Theatre","Seattle","US","United States","list(song = list(list(`@name` = c("""", ""You'll Be Gone"", ""I Wish You Lonely"", ""I Started Something I Couldn't Finish"", ""Spent the Day in Bed"", ""Alma Matters"", ""Speedway"", ""When You Open Your Legs"", ""Home Is a Question Mark"", ""Istanbul"", ""How Soon Is Now?"", ""World Peace Is None of Your Business"", ""When Last I Spoke to Carol"", ""I'm Throwing My Arms Around Paris"", ""The Bullfighter Dies"", ""Jack the Ripper"", ""Back on the Chain Gang"", ""My Love, I'd Do Anything for You"", ""Ganglord"", ""Meat Is Murder"", ""Everyday Is Like Sunday""
), `@tape` = c(""true"", NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA), info = c(""Intro Collage of videos that served as show opener"", NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA), `cover.@mbid` = c(NA, ""01809552-4f87-45b0-afff-2c6f0730a3be"", NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", NA, NA, NA, NA, NA, NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", NA, NA, NA, NA, NA, ""e9c832b0-384b-4ee6-aec0-111372784aac"", NA, NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", 
NA), `cover.@tmid` = c(NA, ""821272"", NA, ""770791"", NA, NA, NA, NA, NA, NA, ""770791"", NA, NA, NA, NA, NA, ""735890"", NA, NA, ""770791"", NA), `cover.@name` = c(NA, ""Elvis Presley"", NA, ""The Smiths"", NA, NA, NA, NA, NA, NA, ""The Smiths"", NA, NA, NA, NA, NA, ""The Pretenders"", NA, NA, ""The Smiths"", NA), `cover.@sortName` = c(NA, ""Presley, Elvis"", NA, ""Smiths, The"", NA, NA, NA, NA, NA, NA, ""Smiths, The"", NA, NA, NA, NA, NA, ""Pretenders, The"", NA, NA, ""Smiths, The"", NA), `cover.@disambiguation` = c(NA, """", 
NA, """", NA, NA, NA, NA, NA, NA, """", NA, NA, NA, NA, NA, ""English-American rock band"", NA, NA, """", NA), cover.url = c(NA, ""https://www.setlist.fm/setlists/elvis-presley-73d6a2b1.html"", NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", NA, NA, NA, NA, NA, NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", NA, NA, NA, NA, NA, ""https://www.setlist.fm/setlists/the-pretenders-33d6b815.html"", NA, NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", NA)), list(`@name` = c(""Suedehead"", 
""Shoplifters of the World Unite""), `cover.@mbid` = c(NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27""), `cover.@tmid` = c(NA, ""770791""), `cover.@name` = c(NA, ""The Smiths""), `cover.@sortName` = c(NA, ""Smiths, The""), `cover.@disambiguation` = c(NA, """"), cover.url = c(NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html""))), `@encore` = c(NA, ""1""))",11,2017
"6","4be3677a","Low In High School",2017-10-31,NA,"013fa897-86db-41d3-8e9f-386c8a34f4e6","Morrissey","Arlene Schnitzer Concert Hall","Portland","US","United States","list(song = list(list(`@name` = c(""You'll Be Gone"", ""I Wish You Lonely"", ""I Started Something I Couldn't Finish"", ""Spent the Day in Bed"", ""Alma Matters"", ""Speedway"", ""When You Open Your Legs"", ""Home Is a Question Mark"", ""Istanbul"", ""When Last I Spoke to Carol"", ""How Soon Is Now?"", ""I'm Throwing My Arms Around Paris"", ""The Bullfighter Dies"", ""Jack the Ripper"", ""Back on the Chain Gang"", ""World Peace Is None of Your Business"", ""All the Young People Must Fall in Love"", ""Ganglord"", ""Meat Is Murder"", ""Everyday Is Like Sunday""
), info = c(NA, NA, ""First time live by any Smiths member ever"", NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA), `cover.@mbid` = c(""01809552-4f87-45b0-afff-2c6f0730a3be"", NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", NA, NA, NA, NA, NA, NA, NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", NA, NA, NA, ""e9c832b0-384b-4ee6-aec0-111372784aac"", NA, NA, NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", NA), `cover.@tmid` = c(""821272"", NA, ""770791"", NA, NA, NA, NA, NA, NA, NA, ""770791"", NA, NA, 
NA, ""735890"", NA, NA, NA, ""770791"", NA), `cover.@name` = c(""Elvis Presley"", NA, ""The Smiths"", NA, NA, NA, NA, NA, NA, NA, ""The Smiths"", NA, NA, NA, ""The Pretenders"", NA, NA, NA, ""The Smiths"", NA), `cover.@sortName` = c(""Presley, Elvis"", NA, ""Smiths, The"", NA, NA, NA, NA, NA, NA, NA, ""Smiths, The"", NA, NA, NA, ""Pretenders, The"", NA, NA, NA, ""Smiths, The"", NA), `cover.@disambiguation` = c("""", NA, """", NA, NA, NA, NA, NA, NA, NA, """", NA, NA, NA, ""English-American rock band"", NA, NA, NA, """", NA), cover.url = c(""https://www.setlist.fm/setlists/elvis-presley-73d6a2b1.html"", 
NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", NA, NA, NA, NA, NA, NA, NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", NA, NA, NA, ""https://www.setlist.fm/setlists/the-pretenders-33d6b815.html"", NA, NA, NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", NA)), list(`@name` = c(""Suedehead"", ""Shoplifters of the World Unite""), `cover.@mbid` = c(NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27""), `cover.@tmid` = c(NA, ""770791""), `cover.@name` = c(NA, ""The Smiths""
), `cover.@sortName` = c(NA, ""Smiths, The""), `cover.@disambiguation` = c(NA, """"), cover.url = c(NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html""))), `@encore` = c(NA, ""1""))",10,2017
"7","be3e9b2","Low In High School",2017-10-11,"Webcast live by Arte Concert","013fa897-86db-41d3-8e9f-386c8a34f4e6","Morrissey","Schwuz","Berlin","DE","Germany","list(song = list(`@name` = c(""Alma Matters"", ""I Wish You Lonely"", ""Speedway"", ""I'm Throwing My Arms Around Paris"", ""Istanbul"", ""Spent the Day in Bed"", ""Home Is a Question Mark"", ""My Love, I'd Do Anything for You"", ""World Peace Is None of Your Business"", ""The Bullfighter Dies"", ""All the Young People Must Fall in Love"", ""When You Open Your Legs"", ""Meat Is Murder"", ""Back on the Chain Gang""), info = c(NA, NA, NA, NA, NA, NA, NA, ""live debut"", NA, NA, NA, NA, NA, NA), `cover.@mbid` = c(NA, NA, NA, NA, 
NA, NA, NA, NA, NA, NA, NA, NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", ""e9c832b0-384b-4ee6-aec0-111372784aac""), `cover.@tmid` = c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, ""770791"", ""735890""), `cover.@name` = c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, ""The Smiths"", ""The Pretenders""), `cover.@sortName` = c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, ""Smiths, The"", ""Pretenders, The""), `cover.@disambiguation` = c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, """", ""English-American rock band""
), cover.url = c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", ""https://www.setlist.fm/setlists/the-pretenders-33d6b815.html"")))",10,2017
"8","63e31a87","Low In High School",2017-10-09,"live on french television broadcast ""C à Vous"" - channel 5","013fa897-86db-41d3-8e9f-386c8a34f4e6","Morrissey","C à vous","Paris","FR","France","list(song = list(`@name` = ""Spent the Day in Bed""))",10,2017
"9","1be3f110","Low In High School",2017-10-07,NA,"013fa897-86db-41d3-8e9f-386c8a34f4e6","Morrissey","Later with Jools Holland","Maidstone","GB","United Kingdom","list(song = list(`@name` = c(""Spent the Day in Bed"", ""All the Young People Must Fall in Love"", ""I Wish You Lonely"")))",10,2017
"10","3e3a5ff","Low In High School",2017-10-02,"Songs 1-13 were broadcast live by BBC Radio 6 Music. ""My Love, I'd Do Anything for You"" and ""I'm Throwing My Arms Around Paris"" were the last 2 songs on the printed setlist, but were not played.","013fa897-86db-41d3-8e9f-386c8a34f4e6","Morrissey","Maida Vale Studios","London","GB","United Kingdom","list(song = list(`@name` = c(""You Have Killed Me"", ""I Wish You Lonely"", ""Spent the Day in Bed"", ""Speedway"", ""Istanbul"", ""Ganglord"", ""Jacky's Only Happy When She's Up on the Stage"", ""Back on the Chain Gang"", ""World Peace Is None of Your Business"", ""The Bullfighter Dies"", ""When You Open Your Legs"", ""Jack the Ripper"", ""Home Is a Question Mark"", ""All the Young People Must Fall in Love""), info = c(NA, ""live debut"", ""live debut"", NA, NA, NA, ""live debut"", NA, NA, NA, ""live debut"", NA, ""live debut"", ""live debut""
), `cover.@mbid` = c(NA, NA, NA, NA, NA, NA, NA, ""e9c832b0-384b-4ee6-aec0-111372784aac"", NA, NA, NA, NA, NA, NA), `cover.@tmid` = c(NA, NA, NA, NA, NA, NA, NA, ""735890"", NA, NA, NA, NA, NA, NA), `cover.@name` = c(NA, NA, NA, NA, NA, NA, NA, ""The Pretenders"", NA, NA, NA, NA, NA, NA), `cover.@sortName` = c(NA, NA, NA, NA, NA, NA, NA, ""Pretenders, The"", NA, NA, NA, NA, NA, NA), `cover.@disambiguation` = c(NA, NA, NA, NA, NA, NA, NA, ""English-American rock band"", NA, NA, NA, NA, NA, NA), cover.url = c(NA, 
NA, NA, NA, NA, NA, NA, ""https://www.setlist.fm/setlists/the-pretenders-33d6b815.html"", NA, NA, NA, NA, NA, NA)))",10,2017
"11","be6cdb6",NA,2017-04-15,NA,"013fa897-86db-41d3-8e9f-386c8a34f4e6","Morrissey","Majestic Theatre","Dallas","US","United States","list(song = list(list(`@name` = c(""Suedehead"", ""Alma Matters"", ""Speedway"", ""When Last I Spoke to Carol"", ""Istanbul"", ""World Peace Is None of Your Business"", ""Last Night I Dreamt That Somebody Loved Me"", ""Everyday Is Like Sunday"", ""Ouija Board, Ouija Board"", ""The Bullfighter Dies"", ""I'm Throwing My Arms Around Paris"", ""Ganglord"", ""Meat Is Murder"", ""Let Me Kiss You"", ""Jack the Ripper"", ""The World Is Full of Crashing Bores"", ""How Soon Is Now?"", ""First of the Gang to Die"", ""Shoplifters of the World Unite""
), info = c(NA, NA, NA, NA, NA, NA, ""First performance since 2012"", NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, ""Mariachi version"", NA), `cover.@mbid` = c(NA, NA, NA, NA, NA, NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", NA, NA, NA, NA, NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", NA, NA, NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27""), `cover.@tmid` = c(NA, NA, NA, NA, NA, NA, ""770791"", NA, NA, NA, NA, NA, ""770791"", NA, NA, NA, ""770791"", NA, ""770791""), `cover.@name` = c(NA, 
NA, NA, NA, NA, NA, ""The Smiths"", NA, NA, NA, NA, NA, ""The Smiths"", NA, NA, NA, ""The Smiths"", NA, ""The Smiths""), `cover.@sortName` = c(NA, NA, NA, NA, NA, NA, ""Smiths, The"", NA, NA, NA, NA, NA, ""Smiths, The"", NA, NA, NA, ""Smiths, The"", NA, ""Smiths, The""), `cover.@disambiguation` = c(NA, NA, NA, NA, NA, NA, """", NA, NA, NA, NA, NA, """", NA, NA, NA, """", NA, """"), cover.url = c(NA, NA, NA, NA, NA, NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", NA, NA, NA, NA, NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", 
NA, NA, NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"")), list(`@name` = ""Judy Is a Punk"", cover = list(`@mbid` = ""d6ed7887-a401-47a8-893c-34b967444d26"", `@tmid` = ""933298"", `@name` = ""Ramones"", `@sortName` = ""Ramones"", `@disambiguation` = """", url = ""https://www.setlist.fm/setlists/ramones-13d6a5cd.html""))), `@encore` = c(NA, ""1""))",4,2017
"12","1be6cd8c",NA,2017-04-14,NA,"013fa897-86db-41d3-8e9f-386c8a34f4e6","Morrissey","Smart Financial Centre at Sugar Land","Sugar Land","US","United States","list(song = list(list(`@name` = c(""How Soon Is Now?"", ""Suedehead"", ""Alma Matters"", ""Speedway"", ""Everyday Is Like Sunday"", ""Istanbul"", ""World Peace Is None of Your Business"", ""Jack the Ripper"", ""Ouija Board, Ouija Board"", ""The Bullfighter Dies"", ""There Is a Light That Never Goes Out"", ""First of the Gang to Die"", ""Ganglord"", ""Kiss Me a Lot"", ""You're the One for Me, Fatty"", ""Shoplifters of the World Unite"", ""When Last I Spoke to Carol"", ""Let Me Kiss You""), `cover.@mbid` = c(""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", 
NA, NA, NA, NA, NA, NA, NA, NA, NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", NA, NA, NA, NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", NA, NA), `cover.@tmid` = c(""770791"", NA, NA, NA, NA, NA, NA, NA, NA, NA, ""770791"", NA, NA, NA, NA, ""770791"", NA, NA), `cover.@name` = c(""The Smiths"", NA, NA, NA, NA, NA, NA, NA, NA, NA, ""The Smiths"", NA, NA, NA, NA, ""The Smiths"", NA, NA), `cover.@sortName` = c(""Smiths, The"", NA, NA, NA, NA, NA, NA, NA, NA, NA, ""Smiths, The"", NA, NA, NA, NA, ""Smiths, The"", NA, NA), `cover.@disambiguation` = c("""", 
NA, NA, NA, NA, NA, NA, NA, NA, NA, """", NA, NA, NA, NA, """", NA, NA), cover.url = c(""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", NA, NA, NA, NA, NA, NA, NA, NA, NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", NA, NA, NA, NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", NA, NA)), list(`@name` = ""Judy Is a Punk"", cover = list(`@mbid` = ""d6ed7887-a401-47a8-893c-34b967444d26"", `@tmid` = ""933298"", `@name` = ""Ramones"", `@sortName` = ""Ramones"", `@disambiguation` = """", 
    url = ""https://www.setlist.fm/setlists/ramones-13d6a5cd.html""))), `@encore` = c(NA, ""1""))",4,2017
"13","63e6fa43",NA,2017-04-10,"Concert cut short because of failing voice","013fa897-86db-41d3-8e9f-386c8a34f4e6","Morrissey","Fox Theatre","Tucson","US","United States","list(song = list(`@name` = c(""Suedehead"", ""Alma Matters"", ""When Last I Spoke to Carol"", ""Speedway"", ""Staircase at the University"", ""Everyday Is Like Sunday"")))",4,2017
"14","5be68be0",NA,2017-04-08,NA,"013fa897-86db-41d3-8e9f-386c8a34f4e6","Morrissey","The Observatory Grounds","Santa Ana","US","United States","list(song = list(`@name` = c(""There Is a Light That Never Goes Out"", ""Suedehead"", ""Alma Matters"", ""When Last I Spoke to Carol"", ""World Peace Is None of Your Business"", ""Speedway"", ""Everyday Is Like Sunday"", ""Kiss Me a Lot"", ""Ganglord"", ""The Bullfighter Dies"", ""Shoplifters of the World Unite"", ""Ouija Board, Ouija Board"", ""First of the Gang to Die"", ""Jack the Ripper"", ""I'm Throwing My Arms Around Paris"", ""How Soon Is Now?"", ""Let Me Kiss You"", ""You Have Killed Me"", ""Judy Is a Punk""), `cover.@mbid` = c(""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", 
NA, NA, NA, NA, NA, NA, NA, NA, NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", NA, NA, NA, NA, ""40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27"", NA, NA, ""d6ed7887-a401-47a8-893c-34b967444d26""), `cover.@tmid` = c(""770791"", NA, NA, NA, NA, NA, NA, NA, NA, NA, ""770791"", NA, NA, NA, NA, ""770791"", NA, NA, ""933298""), `cover.@name` = c(""The Smiths"", NA, NA, NA, NA, NA, NA, NA, NA, NA, ""The Smiths"", NA, NA, NA, NA, ""The Smiths"", NA, NA, ""Ramones""), `cover.@sortName` = c(""Smiths, The"", NA, NA, NA, NA, NA, NA, NA, NA, 
NA, ""Smiths, The"", NA, NA, NA, NA, ""Smiths, The"", NA, NA, ""Ramones""), `cover.@disambiguation` = c("""", NA, NA, NA, NA, NA, NA, NA, NA, NA, """", NA, NA, NA, NA, """", NA, NA, """"), cover.url = c(""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", NA, NA, NA, NA, NA, NA, NA, NA, NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", NA, NA, NA, NA, ""https://www.setlist.fm/setlists/the-smiths-6bd6b236.html"", NA, NA, ""https://www.setlist.fm/setlists/ramones-13d6a5cd.html"")))",4,2017
